Revenue,Survey question,Response option,Percent,Question sample size
"$25,001-$50,000","Financial challenges, prior 12 months",Making payments on debt/interest rates,38%,284
"$25,001-$50,000","Financial challenges, prior 12 months",Weak sales,34%,284
"$25,001-$50,000","Financial challenges, prior 12 months",Credit availability,29%,284
"$25,001-$50,000","Financial challenges, prior 12 months",Did not experience any financial challenges,4%,284
"$25,001-$50,000","Financial challenges, prior 12 months",Other,0%,284
"$0-$25,000","Financial challenges, prior 12 months",Paying operating expenses,71%,356
"$0-$25,000","Financial challenges, prior 12 months",Weak sales,57%,356
"$0-$25,000","Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",57%,356
"$0-$25,000","Financial challenges, prior 12 months",Uneven cash flow,48%,356
"$0-$25,000","Financial challenges, prior 12 months",Credit availability,45%,356
"$0-$25,000","Financial challenges, prior 12 months",Making payments on debt/interest rates,35%,356
"$0-$25,000","Financial challenges, prior 12 months",Did not experience any financial challenges,5%,356
"$0-$25,000","Financial challenges, prior 12 months",Other,1%,356
$5 million-$10 million,"Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",79%,368
$5 million-$10 million,"Financial challenges, prior 12 months",Uneven cash flow,47%,368
$5 million-$10 million,"Financial challenges, prior 12 months",Weak sales,40%,368
$5 million-$10 million,"Financial challenges, prior 12 months",Paying operating expenses,32%,368
$5 million-$10 million,"Financial challenges, prior 12 months",Credit availability,28%,368
$5 million-$10 million,"Financial challenges, prior 12 months",Making payments on debt/interest rates,24%,368
$5 million-$10 million,"Financial challenges, prior 12 months",Did not experience any financial challenges,7%,368
$5 million-$10 million,"Financial challenges, prior 12 months",Other,0%,368
More than $10 million,"Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",81%,408
More than $10 million,"Financial challenges, prior 12 months",Weak sales,43%,408
More than $10 million,"Financial challenges, prior 12 months",Uneven cash flow,39%,408
More than $10 million,"Financial challenges, prior 12 months",Paying operating expenses,29%,408
More than $10 million,"Financial challenges, prior 12 months",Making payments on debt/interest rates,21%,408
More than $10 million,"Financial challenges, prior 12 months",Credit availability,20%,408
More than $10 million,"Financial challenges, prior 12 months",Did not experience any financial challenges,9%,408
More than $10 million,"Financial challenges, prior 12 months",Other,0%,408
"$50,001-$100,000","Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",66%,536
"$50,001-$100,000","Financial challenges, prior 12 months",Paying operating expenses,61%,536
"$50,001-$100,000","Financial challenges, prior 12 months",Uneven cash flow,50%,536
"$50,001-$100,000","Financial challenges, prior 12 months",Weak sales,48%,536
"$50,001-$100,000","Financial challenges, prior 12 months",Making payments on debt/interest rates,42%,536
"$50,001-$100,000","Financial challenges, prior 12 months",Credit availability,32%,536
"$50,001-$100,000","Financial challenges, prior 12 months",Did not experience any financial challenges,7%,536
"$50,001-$100,000","Financial challenges, prior 12 months",Other,0%,536
"$100,001-$250,000","Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",74%,1071
"$100,001-$250,000","Financial challenges, prior 12 months",Paying operating expenses,59%,1071
"$100,001-$250,000","Financial challenges, prior 12 months",Weak sales,54%,1071
"$100,001-$250,000","Financial challenges, prior 12 months",Uneven cash flow,54%,1071
"$100,001-$250,000","Financial challenges, prior 12 months",Making payments on debt/interest rates,44%,1071
"$100,001-$250,000","Financial challenges, prior 12 months",Credit availability,27%,1071
"$100,001-$250,000","Financial challenges, prior 12 months",Did not experience any financial challenges,3%,1071
"$100,001-$250,000","Financial challenges, prior 12 months",Other,0%,1071
"$250,001-$500,000","Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",78%,1246
"$250,001-$500,000","Financial challenges, prior 12 months",Paying operating expenses,64%,1246
"$250,001-$500,000","Financial challenges, prior 12 months",Uneven cash flow,53%,1246
"$250,001-$500,000","Financial challenges, prior 12 months",Weak sales,49%,1246
"$250,001-$500,000","Financial challenges, prior 12 months",Making payments on debt/interest rates,39%,1246
"$250,001-$500,000","Financial challenges, prior 12 months",Credit availability,26%,1246
"$250,001-$500,000","Financial challenges, prior 12 months",Did not experience any financial challenges,5%,1246
"$250,001-$500,000","Financial challenges, prior 12 months",Other,0%,1246
"$500,001-$1 million","Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",77%,1339
"$500,001-$1 million","Financial challenges, prior 12 months",Paying operating expenses,57%,1339
"$500,001-$1 million","Financial challenges, prior 12 months",Uneven cash flow,51%,1339
"$500,001-$1 million","Financial challenges, prior 12 months",Weak sales,46%,1339
"$500,001-$1 million","Financial challenges, prior 12 months",Making payments on debt/interest rates,37%,1339
"$500,001-$1 million","Financial challenges, prior 12 months",Credit availability,25%,1339
"$500,001-$1 million","Financial challenges, prior 12 months",Did not experience any financial challenges,8%,1339
"$500,001-$1 million","Financial challenges, prior 12 months",Other,1%,1339
$1 million-$5 million,"Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",82%,1862
$1 million-$5 million,"Financial challenges, prior 12 months",Uneven cash flow,53%,1862
$1 million-$5 million,"Financial challenges, prior 12 months",Paying operating expenses,48%,1862
$1 million-$5 million,"Financial challenges, prior 12 months",Weak sales,47%,1862
$1 million-$5 million,"Financial challenges, prior 12 months",Making payments on debt/interest rates,30%,1862
$1 million-$5 million,"Financial challenges, prior 12 months",Credit availability,24%,1862
$1 million-$5 million,"Financial challenges, prior 12 months",Did not experience any financial challenges,7%,1862
$1 million-$5 million,"Financial challenges, prior 12 months",Other,0%,1862
"$25,001-$50,000",Financial services provider,Small bank,45%,284
"$25,001-$50,000",Financial services provider,Large bank,39%,284
"$25,001-$50,000",Financial services provider,Financial company that is not a bank,24%,284
"$25,001-$50,000",Financial services provider,Credit union,13%,284
"$25,001-$50,000",Financial services provider,"None, business does not use financial services",5%,284
"$25,001-$50,000",Financial services provider,Other financial services provider,3%,284
"$0-$25,000",Financial services provider,Large bank,44%,361
"$0-$25,000",Financial services provider,Small bank,28%,361
"$0-$25,000",Financial services provider,Credit union,28%,361
"$0-$25,000",Financial services provider,Financial company that is not a bank,27%,361
"$0-$25,000",Financial services provider,"None, business does not use financial services",9%,361
"$0-$25,000",Financial services provider,Other financial services provider,3%,361
$5 million-$10 million,Financial services provider,Small bank,55%,368
$5 million-$10 million,Financial services provider,Large bank,54%,368
$5 million-$10 million,Financial services provider,Financial company that is not a bank,20%,368
$5 million-$10 million,Financial services provider,Credit union,9%,368
$5 million-$10 million,Financial services provider,Other financial services provider,2%,368
$5 million-$10 million,Financial services provider,"None, business does not use financial services",1%,368
More than $10 million,Financial services provider,Large bank,63%,411
More than $10 million,Financial services provider,Small bank,53%,411
More than $10 million,Financial services provider,Financial company that is not a bank,21%,411
More than $10 million,Financial services provider,Credit union,8%,411
More than $10 million,Financial services provider,Other financial services provider,1%,411
More than $10 million,Financial services provider,"None, business does not use financial services",0%,411
"$50,001-$100,000",Financial services provider,Large bank,51%,539
"$50,001-$100,000",Financial services provider,Small bank,40%,539
"$50,001-$100,000",Financial services provider,Financial company that is not a bank,22%,539
"$50,001-$100,000",Financial services provider,Credit union,20%,539
"$50,001-$100,000",Financial services provider,"None, business does not use financial services",6%,539
"$50,001-$100,000",Financial services provider,Other financial services provider,3%,539
"$100,001-$250,000",Financial services provider,Large bank,52%,1073
"$100,001-$250,000",Financial services provider,Small bank,40%,1073
"$100,001-$250,000",Financial services provider,Financial company that is not a bank,23%,1073
"$100,001-$250,000",Financial services provider,Credit union,17%,1073
"$100,001-$250,000",Financial services provider,"None, business does not use financial services",4%,1073
"$100,001-$250,000",Financial services provider,Other financial services provider,3%,1073
"$250,001-$500,000",Financial services provider,Large bank,49%,1249
"$250,001-$500,000",Financial services provider,Small bank,43%,1249
"$250,001-$500,000",Financial services provider,Financial company that is not a bank,26%,1249
"$250,001-$500,000",Financial services provider,Credit union,17%,1249
"$250,001-$500,000",Financial services provider,Other financial services provider,3%,1249
"$250,001-$500,000",Financial services provider,"None, business does not use financial services",3%,1249
"$500,001-$1 million",Financial services provider,Large bank,55%,1341
"$500,001-$1 million",Financial services provider,Small bank,46%,1341
"$500,001-$1 million",Financial services provider,Financial company that is not a bank,29%,1341
